fiscal_year,month,upi_remitter_banks,total_volume,approved,bd,td,total_debit_reversal_count,debit_reversal_success,units,notes
2025-26,April,Federal Bank Ltd.,245.91,91.5,8.49,0,0.54,95.94,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Fino Payments Bank Ltd.,209.14,86.54,13.35,0.1,1.03,74.62,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,HDFC Bank Ltd.,1471.2,94.26,5.74,0,5.69,95.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,ICICI Bank Ltd.,697.48,95.29,4.68,0.03,1.59,91.28,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,April,IDBI Bank Ltd.,195.97,92.72,7.12,0.15,0.71,84.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,IDFC Bank Ltd.,111.75,91.64,8.35,0.01,0.3,86.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,India Post Payments Bank Limited,554.68,86.07,13.73,0.21,2.35,82.42,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,Indian Bank,581.43,91.5,8.5,0,1.57,89.24,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Indian Overseas Bank,288.12,92.05,7.73,0.22,0.88,94.06,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Indusind Bank Ltd.,199.26,88.17,11.74,0.1,0.73,81.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,JIO Payments Bank Ltd,49.43,79.3,20.13,0.58,0.36,79.43,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,April,Karnataka Bank,137.3,89.51,9.22,1.27,1,40.28,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,Karnataka Gramin Bank,34.52,86.08,11.12,2.8,0.51,63.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,Karur Vysya Bank,87.89,92.36,7.44,0.2,0.31,75.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Kerala Gramin Bank,41.93,91.12,7.68,1.2,0.28,70.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Kotak Mahindra Bank,917.25,90.42,9.58,0,2.27,1.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Maharashtra Gramin Bank,35.66,84.44,12.84,2.73,0.26,56.69,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,NSDL Payments Bank Limited,33.14,78.01,20.66,1.32,0.24,68.58,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,April,Punjab National Bank,1033.6,90.9,8.74,0.36,4.15,87.03,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Punjab and Sind Bank,54.5,90.17,9.36,0.47,0.29,80.9,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,RBL Bank Ltd.,36.09,92.76,6.8,0.45,0.14,75.67,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Rajasthan Marudhara Gramin Bank,33.47,82.68,17.01,0.31,0.19,81.33,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,Saraswat Co-operative Bank,28.81,94.13,5.86,0,0.07,89.93,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Sarva Haryana Gramin Bank,23.95,93.23,5.04,1.73,0.24,65.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Standard Chartered Bank,27.01,94.52,4.5,0.97,0.1,53,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,State Bank of India,4850.52,91.83,7.42,0.75,14.48,93.18,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Tamilnad Mercantile Bank Limited,50.57,91.59,8.27,0.14,0.23,56.26,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Telangana Grameena Bank,36.07,85.88,12.91,1.21,0.32,64.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,The Jammu & Kashmir Bank Limited,94.27,92.37,6.58,1.05,0.94,26.83,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,The South Indian Bank Limited,66.92,94.08,5.91,0.01,0.27,79.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Tri O Tech Solutions Private Limited,99.59,100,0,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,April,UCO Bank,252.89,89.27,10.4,0.33,1,83.06,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,April,Ujjivan Small Finance Bank Limited,51.6,91.96,7.09,0.94,0.32,52.76,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Union Bank of India,1139.95,91.34,8.18,0.47,4.32,68.02,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,April,Yes Bank Ltd.,168.8,89.21,10.76,0.03,0.35,83.34,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,AU Small Finance Bank,75.73,87.32,12.67,0,0.29,83.57,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Airtel Payments Bank Limited,569.69,84.31,15.38,0.31,2.52,88.84,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Andhra Pragathi Grameena Bank,28.26,83.93,12.16,3.91,0.59,82.53,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Axis Bank Ltd.,883.53,93.52,6.45,0.03,2.25,84.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Bandhan Bank limited,82.99,92.36,5.16,2.48,0.79,67.08,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Bank Of India,595.31,92.34,7.08,0.58,2.67,73.07,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Bank of Baroda,1270.6,89.47,10.5,0.03,3.86,95.32,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Bank of Maharashtra,208.61,92.52,7.31,0.17,0.81,69.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Baroda U.P. Bank,43.22,90.27,7.22,2.51,0.38,44.46,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Canara Bank,901.11,91.83,8.04,0.13,2.7,87.81,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Central Bank of India,266.98,86.15,13.55,0.3,0.94,94.79,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,City Union Bank,54.12,90.75,9.13,0.12,0.12,97.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,DBS Bank India Limited,32.09,91.95,8.04,0.01,0.09,94.35,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,ESAF Small Finance Bank Ltd,31.85,91.5,4.25,4.26,0.36,51.6,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Equitas Small Finance Bank,31.5,90.2,9.43,0.37,0.1,89.49,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Federal Bank Ltd.,256.34,91.49,8.46,0.05,0.57,98.07,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Fino Payments Bank Ltd.,214.85,87.62,12.18,0.21,1.2,72.33,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,HDFC Bank Ltd.,1513.14,93.98,6,0.02,4.92,97.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,ICICI Bank Ltd.,730.29,95.15,4.72,0.13,1.83,91.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2024-25,March,IDBI Bank Ltd.,200.78,92.76,7.23,0.01,0.6,95.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,IDFC Bank Ltd.,112.68,91.2,8.8,0,0.29,91.84,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,India Post Payments Bank Limited,570.54,86.13,13.54,0.33,2.31,89.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Indian Bank,589.5,91.56,8.21,0.23,1.97,75.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Indian Overseas Bank,292.32,91.93,7.67,0.4,1.06,91.87,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Indusind Bank Ltd.,203.78,87.95,12.02,0.03,0.74,81.22,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,JIO Payments Bank Ltd,48.73,78.72,14.05,7.23,0.83,48.37,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2024-25,March,Karnataka Bank,144.19,90.64,8.75,0.61,0.7,59.68,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Karnataka Gramin Bank,36,88.58,10.27,1.16,0.27,82.93,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Karur Vysya Bank,90.86,91.97,7.76,0.27,0.27,82.68,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Kerala Gramin Bank,43.54,91.33,7.35,1.32,0.34,62.35,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Kotak Mahindra Bank,938.6,89.78,10.19,0.02,2.42,0.94,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Maharashtra Gramin Bank,35.59,86.14,12.37,1.5,0.17,60.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,NSDL Payments Bank Limited,34.89,69.2,19.22,11.58,1.07,16.58,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2024-25,March,Punjab National Bank,1043.06,90.22,9.45,0.33,3.83,91.3,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Punjab and Sind Bank,55.66,89.85,9.52,0.63,0.35,71.58,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,RBL Bank Ltd.,34.99,92.49,6.98,0.53,0.12,66.84,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Rajasthan Marudhara Gramin Bank,34.54,80.78,17.51,1.71,0.32,60.34,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Saraswat Co-operative Bank,29.58,93.49,6.01,0.5,0.1,66.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Sarva Haryana Gramin Bank,23.93,93.63,4.59,1.77,0.21,51.59,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Standard Chartered Bank,27.87,95.83,4.14,0.03,0.06,91.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2024-25,March,State Bank of India,4956.07,92.01,7.09,0.9,20.26,86.3,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Tamilnad Mercantile Bank Limited,51.92,91.34,8.14,0.52,0.19,63.01,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Telangana Grameena Bank,37.03,83.67,12.91,3.42,0.45,40.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,The Jammu & Kashmir Bank Limited,88.86,92.45,6.41,1.14,0.99,32.27,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,The South Indian Bank Limited,70.22,93.88,6.04,0.08,0.17,90.63,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Tri O Tech Solutions Private Limited,89.61,100,0,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2024-25,March,UCO Bank,254.76,89.86,10.05,0.09,0.96,89.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,March,Ujjivan Small Finance Bank Limited,53.09,93.11,6.29,0.6,0.25,69.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Union Bank of India,1173.28,91.58,8.36,0.06,3.51,89.97,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,March,Yes Bank Ltd.,167.37,88.24,11.65,0.11,0.46,69.33,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,AU Small Finance Bank,67.04,86.79,12.78,0.43,0.28,74.62,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Airtel Payments Bank Limited,494.58,79.75,17.84,2.41,2.16,82.8,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2024-25,February,Andhra Pragathi Grameena Bank,23.7,83.93,12.53,3.53,0.43,79.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Axis Bank Ltd.,774.8,93.21,6.78,0.02,1.61,97.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Bandhan Bank limited,74.75,92.93,5.02,2.05,0.65,88.71,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Bank Of India,524.43,92,7.17,0.83,2.6,63.53,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Bank of Baroda,1107.47,90.78,9.16,0.06,2.98,94.41,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Bank of Maharashtra,183.07,92.04,7.47,0.5,0.71,62.29,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Baroda U.P. Bank,35.45,92.12,6.03,1.84,0.31,41.58,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Canara Bank,799.21,90.86,8.7,0.44,2.65,77.52,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Central Bank of India,234.96,85.99,13.49,0.52,0.85,92.18,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,City Union Bank,48.24,91.53,8.33,0.13,0.09,96.4,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,DBS Bank India Limited,28.75,92.2,7.75,0.05,0.07,93.35,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,ESAF Small Finance Bank Ltd,28.79,94.28,4.15,1.57,0.18,91.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Equitas Small Finance Bank,28.49,89.74,9.72,0.54,0.1,71.53,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Federal Bank Ltd.,234.23,91.54,8.32,0.14,0.48,97.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Fino Payments Bank Ltd.,182.03,89.88,9.89,0.22,0.82,83.43,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,HDFC Bank Ltd.,1335.84,93.74,6.2,0.06,3.56,98.71,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,ICICI Bank Ltd.,646.14,94.86,5.08,0.06,1.29,92.36,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,IDBI Bank Ltd.,177.38,92.32,7.34,0.34,0.62,87.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,IDFC Bank Ltd.,99.48,90.73,9.24,0.02,0.23,95.9,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,India Post Payments Bank Ltd.,488.27,84.83,14.04,1.13,1.76,85.35,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Indian Bank,517.21,91.87,8.08,0.05,1.27,93.38,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Indian Overseas Bank,257.53,91.88,7.93,0.19,0.67,97.18,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Indusind Bank Ltd.,180.68,87.51,12.12,0.37,0.81,61.52,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,JIO Payments Bank Ltd,39.6,86.44,12.94,0.62,0.21,80,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Karnataka Bank,127.01,90.88,8.65,0.47,0.47,62.11,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Karnataka Gramin Bank,31.05,88.53,10.15,1.32,0.21,87.74,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Karur Vysya Bank,80.65,91.79,7.87,0.34,0.23,78.72,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Kerala Gramin Bank,39.96,92.08,7.29,0.63,0.15,88.95,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Kotak Mahindra Bank,838.1,89.58,10.23,0.19,2.07,2.75,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Maharashtra Gramin Bank,30.5,86.01,11.99,2.01,0.15,53.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,NSDL Payments Bank Limited,30.8,68.39,15.91,15.71,1.47,8.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2024-25,February,Punjab National Bank,925.01,89.74,10.12,0.14,2.77,96.09,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Punjab and Sind Bank,48.34,89.73,9.68,0.59,0.25,75.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,RBL Bank Ltd.,28.55,91.46,7.75,0.79,0.09,66.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Rajasthan Marudhara Gramin Bank,30.74,80.12,14.29,5.59,0.63,18.91,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,Saraswat Co-operative Bank,26.38,93.24,6.16,0.61,0.1,55.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Sarva Haryana Gramin Bank,20.73,92.58,4.52,2.9,0.2,46.38,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Standard Chartered Bank,25.11,95.66,4.29,0.05,0.05,91.57,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2024-25,February,State Bank of India,4400.89,92.13,7.53,0.34,12.56,94.16,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Tamilnad Mercantile Bank Limited,45.82,91.37,8.13,0.5,0.14,64.88,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Telangana Grameena Bank,31.21,83.85,12.35,3.81,0.6,26.67,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2024-25,February,The Jammu & Kashmir Bank Limited,80.46,91.31,6.33,2.36,0.96,27.81,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,The South Indian Bank Limited,63.83,93.57,5.83,0.6,0.12,96.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2024-25,February,Tri O Tech Solutions Private Limited,76.79,100,0,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
